GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
540	1ANG	2910	01/01/1997	1997	1	1	3	Violence against civilians	Civilians (Angola)		7	UNITA: National Union for the Total Independence of Angola		2	27	Angola	Bié	Kuito	Trumba	Kuito	-12.38330	16.93330	3	"Diario de Noticias, Portugal"	The total number of chiefs in the past 6 months assassinated in this province=10	10
540	2ANG	2911	01/01/1997	1997	1	1	3	Violence against civilians	Civilians (Angola)		7	UNITA: National Union for the Total Independence of Angola		2	27	Angola	Bié	Chitembo	Mumbue	Mumbue	-13.90000	17.30000	1	Angola Cronologia	30 cadavers found October 14	30
540	3ANG	2912	19/01/1997	1997	1	19	1	Non-violent activity by a conflict actor	FLEC: Front for the Liberation of the Enclave of Cabinda		2			0	20	Angola	Cabinda	Cabinda	Cabinda	Cabinda	-5.55000	12.20000	3	Africa Research Bulletin	Malongo oil terminal targeted	0
540	4ANG	2913	30/01/1997	1997	1	30	2	Violence against civilians	Military Forces of Angola (1975-)		1	Civilians (Angola)		7	17	Angola	Cabinda	Belize	Mikonje	Caio Guembo	-4.58330	12.86660	2	"Publico, Portugal"	"FAA burns Talibeka and Tadikuma villages, location unknown in E Cabinda province"	0
540	5ANG	2914	02/02/1997	1997	2	2	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Bié	Chinguar	Chinguar	Chinguar	-12.55000	16.33330	2	Angola Cronologia		0
540	6ANG	2915	05/02/1997	1997	2	5	1	Battle-Government regains territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Bié	Kuito	Trumba	Kuito	-12.38330	16.93330	3	Angola Cronologia	"Unita accuses FAA of occupying these provinces - Violence in 'Cleansing' here is said to have cost 120,000 lives, a number perhaps exaggerated, but possible given craters made by bombs"	1000
540	7ANG	2916	05/02/1997	1997	2	5	1	Battle-Government regains territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Huíla	Lubango	Lubango	Lubango	-14.91660	13.50000	3	Angola Cronologia	Unita accuses FAA of occupying these provinces.	0
540	8ANG	2917	06/02/1997	1997	2	6	1	Violence against civilians	Military Forces of Angola (1975-)		1	Civilians (Angola)		7	17	Angola	Benguela	Chongoroi	Chongoroi	Chongoroi	-13.56660	13.95000	3	Angola Cronologia		3
540	9ANG	2918	06/02/1997	1997	2	6	1	Violence against civilians	Military Forces of Angola (1975-)		1	Civilians (Angola)		7	17	Angola	Benguela	Caiambambo	Katengue	Katengue	-13.03330	13.75000	3	Angola Cronologia		3
540	10ANG	2919	07/02/1997	1997	2	7	1	Violence against civilians	Civilians (Angola)		7	Unidentified Armed Group (Angola)		3	37	Angola	Cuanza Sul	Seles	Ucu-Seles	Seles	-11.40000	14.30000	2	Angola Cronologia	Estimate for point between Cubal and Benguela. 4 dressed as civilians killed a civilian.	1
540	11ANG	2920	09/02/1997	1997	2	9	1	Non-violent activity by a conflict actor	FLEC-Renouvada: Front for the Liberation of the Enclave of Cabinda (Renouvada Faction)		2			0	20	Angola	Cabinda	Cabinda	Cabinda	Cabinda	-5.55000	12.20000	3	"Publico, Portugal"	Joint activity attacking communication antenna.	0
540	12ANG	2921	15/02/1997	1997	2	15	1	Riots/Protests	Rioters (Angola)		5			0	50	Angola	Huíla	Lubango	Lubango	Lubango	-14.91667	13.50000	1	Reuters	"Massive unrest due to civil war causes 1,000 people to flee their villages to decend on the city of Cubal."	0
540	13ANG	2922	15/02/1997	1997	2	15	1	Riots/Protests	Rioters (Angola)		5			0	50	Angola	Moxico	Lumbala-Nguimbo	Ninda	Cambuco	-14.40000	21.65000	1	Reuters	"Massive unrest due to civil war causes 1,000 people to flee their villages to decend on the city of Cubal."	0
540	14ANG	2923	20/02/1997	1997	2	20	1	Violence against civilians	Civilians (Angola)		7	FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda		2	27	Angola	Cabinda	Buco Zau	Buco Zau	Buco Zau	-4.76660	12.55000	2	Africa Research Bulletin	"Attacks forestry companies in Catumba area, BZ municipality"	0
540	15ANG	2924	20/02/1997	1997	2	20	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	FDC: Cabinda Democratic Front		2	12	Angola	Cabinda	Buco Zau	Buco Zau	Viede	-4.81660	12.75000	2	Africa Research Bulletin	FDC has been involved in sporadic fighting with FAA south of Belize near the border of Zaire	0
540	16ANG	2925	21/02/1997	1997	2	21	1	Violence against civilians	Civilians (Angola)		7	FLEC-FAC: Front for the Liberation of the Enclave of Cabinda-Armed Forces of Cabinda		2	27	Angola	Cabinda	Buco Zau	Buco Zau	Buco Zau	-4.76660	12.55000	2	Africa Research Bulletin	"Attacks forestry companies in Catumba area, BZ municipality"	0
540	17ANG	2926	22/02/1997	1997	2	22	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Benguela	Ganda	Chikuma	Chicuma	-13.43330	14.86660	1	Angola Cronologia	Unita accuses FAA of going on military offensive here	0
540	18ANG	2927	22/02/1997	1997	2	22	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Benguela	Bocoio	Bocoio	Umbala	-12.53330	14.23330	2	Angola Cronologia	Unita accuses FAA of going on military offensive here (Best estimate for Yambala)	0
540	19ANG	2928	24/02/1997	1997	2	24	1	Riots/Protests	Protesters (Angola)	UNITA: National Union for the Total Independence of Angola	6			0	60	Angola	Cuanza Sul	Cassongue	Atome	Londongo	-11.98333	14.85000	1	BBC Monitoring Service: Africa	UNITA sends a protest to the UN after they remained idle following recent raid and killing by government forces.	0
540	20ANG	2929	26/02/1997	1997	2	26	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	FLEC-Renouvada: Front for the Liberation of the Enclave of Cabinda (Renouvada Faction)		2	12	Angola	Cabinda	Cabinda	Cabinda	Chimbuande	-5.58330	12.51660	2	Africa Research Bulletin	"Between Subantandu (not available) and Chimbuandi, Chimbuandi coded"	20
540	22ANG	2931	04/03/1997	1997	3	4	1	Violence against civilians	Military Forces of Angola (1975-)		1	Civilians (Angola)		7	17	Angola	Lunda Sul	Saurimo	Sombo	Maiombe	-9.26660	21.23330	1	Angola Cronologia	FAA accused of massacring civilians and military here.	20
540	21ANG	2930	04/03/1997	1997	3	4	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola		2	12	Angola	Lunda Sul	Saurimo	Sombo	Maiombe	-9.26660	21.23330	1	Angola Cronologia	FAA accused of massacring civilians and military here.	20
540	23ANG	2932	11/03/1997	1997	3	11	1	Battle-No change of territory	Military Forces of Angola (1975-)		1	UNITA: National Union for the Total Independence of Angola	Military Forces of Democratic Republic of Congo (1997-2001)	2	12	Angola	Cuando Cubango	Rivungo	Luiana	Jamba	-17.50000	22.66660	1	Angola Cronologia	heavy losses in combat	20
540	24ANG	2933	24/03/1997	1997	3	24	2	Violence against civilians	Civilians (Angola)		7	UNITA: National Union for the Total Independence of Angola		2	27	Angola	Benguela	Cubal	Cubal	Cubal	-13.03330	14.25000	1	"Publico, Portual"	"Unita storms mission, killing 3"	3
