GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	DAY	MONTH	YEAR	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1877NIG           	35996	01 January 2008	1	1	2008	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Platts Commodity News	Nigerian troops attempt to repel militants who seized police station and hotel.	0
475	1878NIG           	35997	01 January 2008	1	1	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Reuters News	Militants attack two police stations	0
475	1876NIG           	35995	01 January 2008	1	1	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Bonny		Bonny River	4.383330	7.100000	2	All Africa	Pirates kill one in one in the Bonny River of Rivers State.	1
475	1879NIG           	35998	01 January 2008	1	1	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Reuters News	Militants attack two police stations	0
475	1881NIG           	36095	08 January 2008	8	1	2008	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Federal Capital Territory	Bwari		Abuja	9.080000	7.530000	1	Reuters News	A mob of civilians attack a group of construction workers	0
475	1880NIG           	36094	08 January 2008	8	1	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Rivers	Degema		Abonnema	4.730120	6.773730	1	Reuters News	Groups clash over land in Abonnema	0
475	1882NIG           	36114	11 January 2008	11	1	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Abia	Arochukw		Abala	5.534240	7.889290	2	Vanguard (Nigeria)	The ruler of Abala Community	0
475	1884NIG           	36124	12 January 2008	12	1	2008	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Plateau	Jos North		Jos	9.916670	8.900000	1	Agence France Presse	200 youths storm a Jos Mosque as a local politician tries to encourage peace among rioters.	0
475	1883NIG           	36123	12 January 2008	12	1	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Ogun	Ewekoro		Elere	6.973890	3.156050	1	Vanguard (Nigeria)	Robbers invade an oil depot and get away with cash.	0
475	1885NIG           	36135	13 January 2008	13	1	2008	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Sunday Tribune	Oil truck explodes in Port Harcourt	0
475	1887NIG           	36166	14 January 2008	14	1	2008	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.789170	6.998610	1	Dow Jones International News	After militants attack a Military convoy one civilian is killed and two are injured.	1
475	1886NIG           	36165	14 January 2008	14	1	2008	2	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Kaduna	Kaduna South		Kaduna City	10.523060	7.440280	3	All Africa	Residents of two Naduna neighborhoods riot over a lack of power provided by the local electric company.	0
475	1888NIG           	36203	15 January 2008	15	1	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Anambra	OrumbaNo		Nanka	6.060560	7.087510	1	All Africa	Villagers fight over a plot of land in Anambra State	0
475	1889NIG           	36278	20 January 2008	20	1	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Andoni River	4.416670	7.350000	2	This Day (Nigeria)	Militants attack a naval patrol boat	0
475	1890NIG           	36398	27 January 2008	27	1	2008	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Federal Capital Territory	Bwari		Abuja	9.080000	7.530000	1	All Africa	Councilman is shot dead by militants.	1
475	1891NIG           	36478	04 February 2008	4	2	2008	2	Battle-No change of territory	Fulani Ethnic Militia (Nigeria)		4	Unidentified Ethnic Militia (Nigeria)		4	44	Nigeria	Anambra	AwkaNort		Anambra State	6.333330	7.000000	2	Vanguard (Nigeria)	Farmers and Herdsmen clash over farmland	0
475	1892NIG           	36515	07 February 2008	7	2	2008	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Ebonyi	Ishielu		Ezillo	6.427700	7.792600	1	Vanguard (Nigeria)	Residents in Ebonyi State clash	0
