GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
475	1929NIG	47817	01/01/2008	2008	1	1	1	Battle-No change of territory	Military Forces of Nigeria (2007-2010)		1	Unidentified Armed Group (Nigeria)		3	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Platts Commodity News	Nigerian troops attempt to repel militants who seized police station and hotel.	0
475	1928NIG	47816	01/01/2008	2008	1	1	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Bonny		Bonny River	4.38333	7.10000	2	All Africa	Pirates kill one in one in the Bonny River of Rivers State.	1
475	1931NIG	47819	01/01/2008	2008	1	1	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Reuters News	Militants attack two police stations	0
475	1930NIG	47818	01/01/2008	2008	1	1	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Police Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Reuters News	Militants attack two police stations	0
475	1932NIG	47820	08/01/2008	2008	1	8	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Federal Capital Territory	Abuja Municipality		Abuja	9.05735	7.48976	1	Reuters News	A mob of civilians attack a group of construction workers	0
475	1933NIG	47821	08/01/2008	2008	1	8	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Rivers	Degema		Abonnema	4.73012	6.77373	1	Reuters News	Groups clash over land in Abonnema	0
475	1934NIG	47822	11/01/2008	2008	1	11	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Abia	Arochukw		Abala	5.53424	7.88929	2	Vanguard (Nigeria)	The ruler of Abala Community	0
475	1936NIG	47824	12/01/2008	2008	1	12	1	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Plateau	Jos North		Jos	9.91667	8.90000	1	Agence France Presse	200 youths storm a Jos Mosque as a local politician tries to encourage peace among rioters.	0
475	1935NIG	47823	12/01/2008	2008	1	12	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Ogun	Ewekoro		Elere	6.97389	3.15605	1	Vanguard (Nigeria)	Robbers invade an oil depot and get away with cash.	0
475	1938NIG	47826	14/01/2008	2008	1	14	1	Violence against civilians	MEND: Movement for the Emancipation of the Niger Delta		2	Civilians (Nigeria)		7	27	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Dow Jones International News	After militants attack a Military convoy one civilian is killed and two are injured.	1
475	1937NIG	47825	14/01/2008	2008	1	14	2	Riots/Protests	Rioters (Nigeria)		5			0	50	Nigeria	Kaduna	Kaduna South		Kaduna 	10.52306	7.44028	3	All Africa	Residents of two Naduna neighborhoods riot over a lack of power provided by the local electric company.	0
475	1939NIG	47827	15/01/2008	2008	1	15	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Anambra	OrumbaNo		Nanka	6.06056	7.08751	1	All Africa	Villagers fight over a plot of land in Anambra State	0
475	1940NIG	47828	20/01/2008	2008	1	20	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Military Forces of Nigeria (2007-2010)		1	13	Nigeria	Rivers	Bonny		Andoni River	4.41667	7.35000	2	This Day (Nigeria)	Militants attack a naval patrol boat	0
475	1941NIG	47829	27/01/2008	2008	1	27	1	Violence against civilians	Unidentified Armed Group (Nigeria)		3	Civilians (Nigeria)		7	37	Nigeria	Federal Capital Territory	Abuja Municipality		Abuja	9.05735	7.48976	1	All Africa	Councilman is shot dead by militants.	1
475	1942NIG	47830	04/02/2008	2008	2	4	2	Battle-No change of territory	Fulani Ethnic Militia (Nigeria)		4	Unidentified Ethnic Militia (Nigeria)		4	44	Nigeria	Anambra	AwkaNort		Anambra State	6.33333	7.00000	2	Vanguard (Nigeria)	Farmers and Herdsmen clash over farmland	0
475	1943NIG	47831	07/02/2008	2008	2	7	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Ebonyi	Ishielu		Ezillo	6.42770	7.79260	1	Vanguard (Nigeria)	Residents in Ebonyi State clash	0
475	1944NIG	47832	08/02/2008	2008	2	8	1	Violence against civilians	Military Forces of Nigeria (2007-2010)		1	Civilians (Nigeria)	Agege Ethnic Group (Nigeria)	7	17	Nigeria	Lagos	Ikeja		Agege	6.61426	3.32437	1	Africa Research Bulletin	Military Forces of Nigeria raid the village of Agege in an attempt to recover stolen equipment. In the process	4
475	1945NIG	47833	08/02/2008	2008	2	8	1	Battle-No change of territory	Unidentified Armed Group (Nigeria)		3	Unidentified Armed Group (Nigeria)		3	33	Nigeria	Rivers	Port Harcourt		Port Harcourt	4.78917	6.99861	1	Reuters News	"A turf war develops between two militant groups killing at least four. """	4
475	1946NIG	47834	10/02/2008	2008	2	10	1	Non-violent activity by a conflict actor	MEND: Movement for the Emancipation of the Niger Delta		2			0	20	Nigeria	Delta	Warri South		Warri	5.51667	5.75000	1	Platts Oilgram News	MEND disrupts oil supply in a flow station outside of Warri.	0
