GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
626	1SSD	78664	23/07/2011	2011	7	23	1	Battle-No change of territory	Unidentified Armed Group (Sudan)		3	Military Forces of South Sudan (2011-)		1	13	South Sudan	Jonglei	Duk		Koich	7.63333	31.43333	1	Sudan Tribune	"A rebel leader in South Sudans Unity State was shot dead in Koich, only three days after he signed a peace deal with South Sudan army, the Sudan Peoples Liberation Army (SPLA). It was later learned there was conspiring among his lieutenants."	1
626	2SSD	78665	03/08/2011	2011	8	3	1	Non-violent activity by a conflict actor	Peter Gadet Rebel Group		2			0	20	South Sudan	Central Equatoria	Juba		Juba	4.85165	31.58247	1	Platts Commodity News	A South Sudan rebel group led by renegade general Peter Gadet has agreed to an unconditional ceasefire and is committed to talks on merging its troops with the army.	0
626	3SSD	78666	04/08/2011	2011	8	4	2	Non-violent activity by a conflict actor	SSLM/A: South Sudan Liberation Movement/Army		2			0	20	South Sudan	Central Equatoria	Juba		Juba	4.85165	31.58247	1	Agence France Presse	"The SSLM rejected a peace deal with the Sudanese government believing their former leader, Peter Gadet, had been corrupted by members of the Sudanese government. "	0
626	5SSD	78668	18/08/2011	2011	8	18	1	Violence against civilians	Murle Ethnic Militia (South Sudan)		4	Civilians (Sudan)		7	47	South Sudan	Jonglei	Uror		Pieri District	8.03333	32.03333	2	The Canadian Press	"Cattle raiders of the Murle ethnic group crossed the border from Sudan, raided and looted five unincorporated locations in Jonglei state including the villages of Matot, Pulchuol, Guancot, Rumaker, Dorganwel, and Tongyang. 600 deaths spread over these days unless specifically reported in an event"	67
626	4SSD	78667	18/08/2011	2011	8	18	1	Battle-No change of territory	Murle Ethnic Militia (South Sudan)		4	Military Forces of South Sudan (2011-)		1	14	South Sudan	Jonglei	Uror		Pieri District	8.03333	32.03333	2	The Canadian Press	"Cattle raiders of the Murle ethnic group crossed the border from Sudan, raided and looted five unincorporated locations in Jonglei state including the villages of Matot, Pulchuol, Guancot, Rumaker, Dorganwel, and Tongyang. This is believed to be revenge against the Lou Nuer tribe for earlier raids against them."	67
626	9SSD	78672	19/08/2011	2011	8	19	1	Violence against civilians	Military Forces of Sudan (1989-)		8	Civilians (Sudan)		7	78	South Sudan	Northern Bahr el Ghazal	Aweil West		Alan	9.06089	27.10903	1	The Katmandu Post	"15 South Sudanese fighters are killed, 31 injured in clashes with border-crossing Sudanese forces, who attacked several towns, including an unnamed area on day two, and returned across the border the following day. 57 members of the raiding force were killed in the incident. Many believe this was an effort by the north to intimidate civilians expose the Souths new government as a failure."	67
626	11SSD	78674	19/08/2011	2011	8	19	1	Violence against civilians	Military Forces of Sudan (1989-)		8	Civilians (Sudan)		7	78	South Sudan	Upper Nile	Manyo		Kaka	10.57880	32.15156	1	The Katmandu Post	"15 South Sudanese fighters are killed, 31 injured in clashes with border-crossing Sudanese forces, who attacked several towns, including an unnamed area on day two, and returned across the border the following day. 57 members of the raiding force were killed in the incident. Many believe this was an effort by the north to intimidate civilians expose the Souths new government as a failure."	66
626	8SSD	78671	19/08/2011	2011	8	19	1	Battle-No change of territory	Military Forces of Sudan (1989-)		8	Military Forces of South Sudan (2011-)		1	18	South Sudan	Northern Bahr el Ghazal	Aweil West		Alan	9.06089	27.10903	1	The Katmandu Post	"15 South Sudanese fighters are killed, 31 injured in clashes with border-crossing Sudanese forces, who attacked several towns, including an unnamed area on day two, and returned across the border the following day. 57 members of the raiding force were killed in the incident. Many believe this was an effort by the north to intimidate civilians expose the Souths new government as a failure."	24
626	10SSD	78673	19/08/2011	2011	8	19	1	Battle-No change of territory	Military Forces of Sudan (1989-)		8	Military Forces of South Sudan (2011-)		1	18	South Sudan	Upper Nile	Manyo		Kaka	10.57880	32.15156	1	The Katmandu Post	"15 South Sudanese fighters are killed, 31 injured in clashes with border-crossing Sudanese forces, who attacked several towns, including an unnamed area on day two, and returned across the border the following day. 57 members of the raiding force were killed in the incident. Many believe this was an effort by the north to intimidate civilians expose the Souths new government as a failure."	24
626	7SSD	78670	19/08/2011	2011	8	19	1	Violence against civilians	Murle Ethnic Militia (South Sudan)		4	Civilians (Sudan)		7	47	South Sudan	Jonglei	Uror		Pieri District	8.03333	32.03333	2	The Canadian Press	Cattle raiders from Sudan continue clashes and raids on villages of Pieri District.	66
