GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
552	197ZIM	94670	01/01/2000	2000	1	1	1	Violence against civilians	Police Forces of Zimbabwe (1987-)		1	Civilians (Zimbabwe)		7	17	Zimbabwe	Harare	Harare	Harare City Council	Mbare	-17.85806	31.03722	1	Zimbabwe Human Rights NGO Forum	Police fire teargas into school. Date not specified	0
552	198ZIM	94671	11/01/2000	2000	1	11	1	Riots/Protests	Protesters (Zimbabwe)	ZNLWVA: Zimbabwe National Liberation War Veterans Association	6			0	60	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	War vets gather to claim that constitution should allow government to acquire land without paying compensation	0
552	199ZIM	94672	11/01/2000	2000	1	11	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Amnesty International	Systematic burning of MDC supporters' houses	0
552	200ZIM	94673	01/02/2000	2000	2	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Mufakose	-17.86630	30.92720	1	Zimbabwe Human Rights NGO Forum	"Zanu-PF candidate Sabina Thembani implicated in series of violent assaults against MDC supporters, including older civilians"	1
552	201ZIM	94674	06/02/2000	2000	2	6	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	202ZIM	94675	20/02/2000	2000	2	20	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mazowe	Mazowe RDC	Chiweshe Reserve	-17.08330	31.08330	1	Zimbabwe Human Rights NGO Forum	"Minister of Information and Zanu (PF) candidate, Chen Chimutengwende, believed to have instigated attack"	0
552	203ZIM	94676	22/02/2000	2000	2	22	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Amnesty International	"MDC offices burned, with the South African Observer Mission and MDC officials meeting inside"	0
552	204ZIM	94677	01/03/2000	2000	3	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	205ZIM	94678	01/03/2000	2000	3	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Redcliff	Redcliff Municipality	Redcliff	-19.03330	29.78330	1	Amnesty International	24 people (estimate) beaten by Zanu-PF militia roadblock	0
552	206ZIM	94679	06/03/2000	2000	3	6	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association	ZANU-PF: Zimbabwe African National Union-Patriotic Front	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Mberengwa	Mberengwa RDC	Mberengwa	-20.48330	29.91670	1	Zimbabwe Human Rights NGO Forum		0
552	207ZIM	94680	11/03/2000	2000	3	11	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	208ZIM	94681	13/03/2000	2000	3	13	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland North	Tsholotsho	Tsholotsho RDC	Mbizo	-19.21660	27.51670	1	Amnesty International	"Funny Mahuni killed, apparently for not allowing Zanu-PF supporters to take daughter to base"	1
552	209ZIM	94682	16/03/2000	2000	3	16	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland West	Kariba Urban	Kariba Municipality	Kariba	-16.51660	28.80000	1	Zimbabwe Human Rights NGO Forum		0
552	210ZIM	94683	18/03/2000	2000	3	18	1	Violence against civilians	Unidentified Armed Group (Zimbabwe)		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Bulawayo	Bulawayo	Bulawayo City Council	Bulawayo	-20.15000	28.58000	1	Zimbabwe Human Rights NGO Forum	MDC rally broken up by armed men	0
552	211ZIM	94684	21/03/2000	2000	3	21	1	Violence against civilians	Unidentified Armed Group (Zimbabwe)		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Bulawayo	Bulawayo	Bulawayo City Council	Bulawayo	-20.15000	28.58000	1	Zimbabwe Human Rights NGO Forum	District chairman attacked and left for dead. Perpetrators probably Zanu-PF but not specified	0
552	214ZIM	94687	25/03/2000	2000	3	25	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Chikomba	Chikomba RDC	Chivhu	-19.02112	30.89218	1	Zimbabwe Human Rights NGO Forum	"MDC district chairman, Patrick Chifamba, armed MDC youths with brooms and they attacked Zanu-PF"	0
552	212ZIM	94685	25/03/2000	2000	3	25	1	Riots/Protests	Rioters (Zimbabwe)	MDC: Movement for Democratic Change	5	Rioters (Zimbabwe)	ZANU-PF: Zimbabwe African National Union-Patriotic Front	5	55	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum		0
552	213ZIM	94686	25/03/2000	2000	3	25	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mount Darwin	Pfura RDC	Mount Darwin	-16.78330	31.58330	1	Zimbabwe Human Rights NGO Forum		0
552	215ZIM	94688	26/03/2000	2000	3	26	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	Edwin Gomo killed by stone thrown by Zanu-PF supporters after Border Gezi's speech	1
552	216ZIM	94689	28/03/2000	2000	3	28	1	Battle-No change of territory	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	MDC: Movement for Democratic Change		3	33	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Amnesty International	Back and forth attacks between MDC and Zanu-PF militia	0
552	217ZIM	94690	29/03/2000	2000	3	29	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland North	Lupane	Kusile RDC	Bubi	-18.93330	27.73330	1	Zimbabwe Human Rights NGO Forum	Hunzvi and supporters televised intimidation of farmer	0
552	218ZIM	94691	29/03/2000	2000	3	29	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Matabeleland North	Lupane	Kusile RDC	Bubi	-18.93330	27.73330	1	Zimbabwe Human Rights NGO Forum	Hunzvi and supporters beat up owner of local bottle store	0
552	220ZIM	94693	30/03/2000	2000	3	30	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland West	Zvimba	Zvimba RDC	Porta	-17.85000	30.76670	1	Zimbabwe Human Rights NGO Forum		0
552	219ZIM	94692	30/03/2000	2000	3	30	1	Remote violence	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	"MDC regional offices bombed, vehicles stoned etc"	0
552	221ZIM	94694	31/03/2000	2000	3	31	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	Bus with MDC stickers set alight	0
552	223ZIM	94696	01/04/2000	2000	4	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	Farmer beaten in Hwedza	0
552	224ZIM	94697	01/04/2000	2000	4	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front	ZNLWVA: Zimbabwe National Liberation War Veterans Association	3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Marondera Urban	Marondera Municipality	Marondera	-18.18330	31.55000	1	Zimbabwe Human Rights NGO Forum	Farmer beaten	0
552	226ZIM	94699	01/04/2000	2000	4	1	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Kwekwe Urban	Kwekwe City Council	Kwekwe	-18.91660	29.81670	1	Zimbabwe Human Rights NGO Forum		0
552	222ZIM	94695	01/04/2000	2000	4	1	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Harare	Harare	Harare City Council	Harare	-17.83330	31.05000	1	Zimbabwe Human Rights NGO Forum	NCA march attacked	0
552	225ZIM	94698	01/04/2000	2000	4	1	1	Violence against civilians	ZNLWVA: Zimbabwe National Liberation War Veterans Association		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland East	Marondera Urban	Marondera Municipality	Marondera	-18.18330	31.55000	1	Zimbabwe Human Rights NGO Forum	Constable Chikwanda killed after being involved in investigations into war veteran involvement in beatings	1
552	227ZIM	94700	02/04/2000	2000	4	2	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Bindura Urban	Bindura Municipality	Bindura	-17.29639	31.32972	1	Zimbabwe Human Rights NGO Forum	In Chihota	0
552	228ZIM	94701	02/04/2000	2000	4	2	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Centenary	Muzarabani RDC	Centenary	-16.80000	31.11670	1	Zimbabwe Human Rights NGO Forum	Man killed after scuffle with Zanu-PF. No date given so coded with approximation	1
552	229ZIM	94702	02/04/2000	2000	4	2	1	Violence against civilians	ZANU-PF: Zimbabwe African National Union-Patriotic Front		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Mashonaland Central	Mazowe	Mazowe RDC	Mvurwi	-17.03330	30.85000	1	Zimbabwe Human Rights NGO Forum	Pregnant woman killed as Zanu-PF attacked MDC supporters returning from a rally	1
552	231ZIM	94704	04/04/2000	2000	4	4	1	Violence against civilians	MDC: Movement for Democratic Change		3	Civilians (Zimbabwe)		7	37	Zimbabwe	Midlands	Zvishavane	Runde RDC	Zvishavane	-20.33330	30.03330	1	Zimbabwe Human Rights NGO Forum		0
