GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
625	612SUD	80918	02/01/2000	2000	1	2	1	Violence against civilians	Unidentified Armed Group (Sudan)		3	Civilians (Aid Workers)		7	37	Sudan	Upper Nile	Unity	Rabkona	Bentiu	9.23330	29.83330	2	"Associated Press Newswires 8/1/99, Agence France-Presse 9/1/99"	"Rebels killed 2 local employees of CARE International humanitarian group, 2 others were abducted in the attack - the Sudanese government's humanitarian aid commission blamed SPLA rebels for the attack (SPLA denies the allegation/ no evidence is available"	2
625	613SUD	80919	06/01/2000	2000	1	6	1	Remote violence	Military Forces of Sudan (1989-)		1	Civilians (Sudan)		7	17	Sudan	Jonglei	Bor South	Bor	Bor	6.20720	31.55920	2	Agence France-Presse 12/1/01	"Sudanese government military planes bombed three villages in the southern Bor region (Paluer, Padak and Yomciir) - 6 people were killed, many were injured"	6
625	614SUD	80920	12/01/2000	2000	1	12	1	Remote violence	Unidentified Armed Group (Sudan)		3	Civilians (Aid Workers)	Civilians (International)	7	37	Sudan	Equatoria	Eastern Equatoria	Kapoeta	Kapoeta	4.77167	33.59028	2	"Agence France-Presse 15/1/00, Birmingham Post 15/1/00"	A car bomb exploded in a vehicle carrying aid workers from several different aid organisations - Ugandan LRA rebels are suspected to have possibly perpetrating the attacks	8
625	615SUD	80921	15/01/2000	2000	1	15	1	Remote violence	Military Forces of Sudan (1989-)		1	SPLA/M: Sudanese People's Liberation Army/Movement		2	12	Sudan	Equatoria	Central Equatoria	Nahr Yei	Yei	4.09130	30.67860	1	Agence France-Presse 16/1/00	Sudanese government military bombed the rebel-held town of Yei despite the proclaimed cease-fire - no casualties were reported	0
625	616SUD	80922	26/01/2000	2000	1	26	2	Violence against civilians	SPLA/M: Sudanese People's Liberation Army/Movement		2	Civilians (Sudan)	Maraheel Ethnic Group (Sudan)	7	27	Sudan	Upper Nile	Upper Nile	Tonga	Malakal	9.53694	31.65611	2	Associated Press Newswires 2/2/00	SPLA rebels attacked Maraheel tribe - cattle were stolen and an unspecified number of tribesmen were killed - the incident led to a retaliation attack the following week	0
625	617SUD	80923	01/02/2000	2000	2	1	1	Remote violence	Military Forces of Sudan (1989-)		1	Civilians (Sudan)		7	17	Sudan	Kordofan	South Kordufan	Kadugli	Kadugli	11.01667	29.71667	1	Associated Press Newswires 8/2/00	Government military bombed a town in the Nuba Mountains - 13 students were killed	13
625	618SUD	80924	02/02/2000	2000	2	2	2	Battle-No change of territory	Baggara-Murahaleen Ethnic Militia (Sudan)		4	SPLA/M: Sudanese People's Liberation Army/Movement		2	24	Sudan	Upper Nile	Upper Nile	Tonga	Malakal	9.53694	31.65611	2	Associated Press Newswires 2/2/00	"Maraheel tribe attacked a SPLA rebel base in Upper Nile province (in retaliation for an SPLA attack a week prior to this incident) - 20 rebels and 4 militiamen were killed, SPLA cattle were stolen"	24
625	619SUD	80925	05/02/2000	2000	2	5	2	Battle-No change of territory	Unidentified Armed Group (Sudan)		3	Militia (Matiep)		3	33	Sudan	Upper Nile	Jungoli	Wat	Lankein military zone	8.48333	32.03333	1	Dow Jones International 12/2/00	Pro-government militia led by Matip (SSDF Faction) fought with forces loyal to Marchar (a politician who deserted government ranks the previous week) - in two days of fighting an unspecified number of people were killed	0
625	620SUD	80926	06/02/2000	2000	2	6	2	Battle-Government regains territory	Unidentified Armed Group (Sudan)		3	Militia (Matiep)	Military Forces of Sudan (1989-)	3	33	Sudan	Upper Nile	Jungoli	Wat	Lankein military zone	8.48333	32.03333	1	Dow Jones International 12/2/00	Pro-government militia led by Matip fought with forces loyal to Marchar (a politician who deserted government ranks the previous week) - in two days of fighting an unspecified number of people were killed - Matip's forces captured the area at the end of	0
625	621SUD	80927	09/02/2000	2000	2	9	1	Violence against civilians	LRA: Lord's Resistance Army		2	Civilians (Uganda)		7	27	Sudan	Equatoria	Eastern Equatoria	Amatonge	Torit	4.41333	32.56778	3	Agence France-Presse 22/4/00	LRA rebels attacked a convoy of aid trucks in Sudan	0
