GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
482	76CEN	9879	10/01/2000	2000	1	10	1	Non-violent activity by a conflict actor	MLC: Movement for the Liberation of Congo		2			0	20	Central African Republic	Mbomou	Bakouma	Bakouma	Wango Bangowili	5.18000	22.83000	1	IRIN Africa	"The Forces Armees Congolaises claimed the rebel MLC of Jean-Pierre Bemba was undertaking ""massive military recruitment"" in Wango, just across the border of DRC in CAR."	0
482	77CEN	9880	24/01/2000	2000	1	24	1	Riots/Protests	Protesters (Central African Republic)		6	Police Forces of Central African Republic (1993-2003)		1	16	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Police fired rifles and used teargas on protesters who were members of the Base Karako militia demanding to be taken back into the regular army.	0
482	78CEN	9881	04/02/2000	2000	2	4	1	Riots/Protests	Protesters (Central African Republic)		6			0	60	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Police fired rifles and used teargas on protesters who were members of the Base Karako militia demanding to be taken back into the regular army.	0
482	79CEN	9882	05/02/2000	2000	2	5	1	Violence against civilians	Civilians (Central African Republic)		7	Zaraguinas		3	37	Central African Republic	Ouaka	Bambari	Bambari	Bambari	5.76190	20.66720	1	Agence France-Presse	"Zarguinas, or highway militia men, attacked and killed a nun. After, they stole petrol from a tanker"	1
482	80CEN	9883	06/02/2000	2000	2	6	1	Riots/Protests	Protesters (Central African Republic)		6			0	60	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Nuns marched to the protest the killing of a nun in Bambari	0
482	81CEN	9884	07/02/2000	2000	2	7	1	Violence against civilians	Civilians (Central African Republic)		7	Zaraguinas		3	37	Central African Republic	Ouaka	Bambari	Bambari	Bambari	5.76190	20.66720	1	Agence France-Presse	Zarguinas attacked the funeral procession of a nun killed in previous attacks	0
482	82CEN	9885	29/02/2000	2000	2	29	1	Violence against civilians	Civilians (Libya)		7	Unidentified Armed Group (Central African Republic)		3	37	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Associated Press	Libyan ambassador shot	0
482	83CEN	9886	14/10/2000	2000	10	14	1	Riots/Protests	Protesters (Central African Republic)		6			0	60	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Civil servants protested unpaid wages by striking	0
482	84CEN	9887	14/11/2000	2000	11	14	1	Riots/Protests	Rioters (Central African Republic)		5	Police Forces of Central African Republic (1993-2003)		1	15	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Rioters set tires on fire to demonstrate over unemployment. Police responded with teargas	0
482	85CEN	9888	24/11/2000	2000	11	24	1	Riots/Protests	Protesters (Central African Republic)		6			0	60	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	"Protesters, mostly civil servants, demanded payment of salary arrears"	0
482	86CEN	9889	15/12/2000	2000	12	15	3	Violence against civilians	Civilians (Chad)		7	Zaraguinas		3	37	Central African Republic	Ombella M'Poko	Yaloke	Yaloke	Yaloke	5.32000	17.08000	2	Agence France-Presse	7 Chad farmers killed	7
482	87CEN	9890	19/12/2000	2000	12	19	1	Riots/Protests	Rioters (Central African Republic)		5	Police Forces of Central African Republic (1993-2003)		1	15	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Associated Press	Police fired teargas and automatic rifles at anti-government demonstrators. 20 people were inured	0
482	88CEN	9891	17/02/2001	2001	2	17	1	Riots/Protests	Rioters (Central African Republic)	Merchant Militia	5	Rioters (Central African Republic)	Merchant Militia	5	55	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Agence France-Presse	Merchants- local and foreign- fought each other.	0
482	89CEN	9892	13/03/2001	2001	3	13	1	Battle-No change of territory	Masabio Ethnic Miitia (Central African Republic)		4	Military Forces of Central African Republic (1993-2003)		1	14	Central African Republic	Ouham	Batangafo	Bakassa	Sabo	7.87620	17.77300	3	BBC Monitoring	Masabio herders shot at soldiers attempting to carry out a vaccination campaign	0
482	90CEN	9893	16/03/2001	2001	3	16	3	Violence against civilians	Civilians (Central African Republic)		7	Unidentified Armed Group (Chad)		3	37	Central African Republic	Ouham Pende	Bozoum	Bozoum	Bozoum	6.31670	16.38330	3	Agence France-Presse	Armed group from Chad killed and raped several CAR civilians.	0
482	91CEN	9894	12/04/2001	2001	4	12	1	Violence against civilians	Civilians (Central African Republic)		7	Unidentified Armed Group (Chad)		3	37	Central African Republic	Ouham Pende	Paoua	Nana-Barya	Bekila	7.42000	16.62000	1	Associated Press	Armed group from Chad killed and raped several CAR civilians.	0
482	92CEN	9895	12/04/2001	2001	4	12	1	Violence against civilians	Civilians (Central African Republic)		7	Unidentified Armed Group (Chad)		3	37	Central African Republic	Ouham Pende	Paoua	Nana-Barya	Beo-Gombo	7.36000	16.61000	1	Associated Press	Armed group from Chad killed and raped several CAR civilians.	0
482	93CEN	9896	25/04/2001	2001	4	25	2	Violence against civilians	Civilians (Chad)		7	Zaraguinas		3	37	Central African Republic	Ombella M'Poko	Yaloke	Yaloke	Yaloke	5.32000	17.08000	1	Agence France-Presse	21 Chad farmers killed and farmers settlement seized	21
482	94CEN	9897	28/05/2001	2001	5	28	1	Battle-Non-state actor overtakes territory	Mutiny of Military Forces of Central African Republic (1993-2003)		1	Military Forces of Central African Republic (1993-2003)		1	11	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Associated Press	Soldiers attached the home of President Patasse	0
482	96CEN	9899	29/05/2001	2001	5	29	1	Violence against civilians	Civilians (Central African Republic)	Yakoma Ethnic Group (Central African Republic)	7	Military Forces of Central African Republic (1993-2003)		1	17	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Africa Research Bulletin	CAR military kill people of Yokama ethnic group- the ethnic group most of the mutiny belongs to	0
482	95CEN	9898	29/05/2001	2001	5	29	1	Battle-No change of territory	Mutiny of Military Forces of Central African Republic (1993-2003)		1	Military Forces of Central African Republic (1993-2003)		1	11	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Associated Press	Military coup led by Andre Kolingba- former military leader	0
482	97CEN	9900	30/05/2001	2001	5	30	1	Battle-No change of territory	Mutiny of Military Forces of Central African Republic (1993-2003)		1	Military Forces of Central African Republic (1993-2003)	Military Forces of Libya (1969-2011)	1	11	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Africa Research Bulletin	Military coup. CAR troops supported by Libyan troops	0
482	98CEN	9901	30/05/2001	2001	5	30	1	Battle-No change of territory	Mutiny of Military Forces of Central African Republic (1993-2003)		1	Military Forces of Central African Republic (1993-2003)	Military Forces of Libya (1969-2011)	1	11	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Radio France		0
482	99CEN	9902	30/05/2001	2001	5	30	1	Battle-Non-state actor overtakes territory	Mutiny of Military Forces of Central African Republic (1993-2003)		1	Military Forces of Central African Republic (1993-2003)	MLC: Movement for the Liberation of Congo	1	11	Central African Republic	Bangui	Bangui	Bangui	Kasai	4.36670	18.58330	1	BBC Monitoring	Mutiny take Kassai military camp. MLC aid CAR troops	0
482	101CEN	9904	01/06/2001	2001	6	1	1	Non-violent activity by a conflict actor	FLC: Congolese Liberation Front		2			0	20	Central African Republic	Bangui	Bangui	Bangui	Bangui	4.36670	18.58330	1	Reuters News	Jean-Pierre Bemba sent troops to Bangui to aid CAR's president.	0
