GWNO	EVENT_ID_CNTY	EVENT_ID_NO_CNTY	EVENT_DATE	YEAR	MONTH	DAY	TIME_PRECISION	Event Type	Actor	ALLY_ACTOR_1	INTER1	ACTOR2	ALLY_ACTOR_2	INTER2	INTERACTION	COUNTRY	ADMIN1	ADMIN2	ADMIN3	LOCATION	LATITUDE	LONGITUDE	GEO_PRECIS	SOURCE	Notes	Fatalities
651	1EGY	21779	03/01/1997	1997	1	3	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Egyptian police shot dead a suspected Islamist militant in an exchange of fire in the southern countryside on Friday.	1
651	3EGY	21781	06/01/1997	1997	1	6	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	North Sinai	Bir Al-Abd		"Mahari, Hod el"	30.98330	32.83330	1	Reuters	A farmer was killed in his fields during a shootout between police and suspected Moslem militants in southern Egypt.	1
651	2EGY	21780	06/01/1997	1997	1	6	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	North Sinai	Bir Al-Abd		"Mahari, Hod el"	30.98330	32.83330	1	Reuters	Shootout between police and suspected Moslem militants in southern Egypt on Monday	0
651	4EGY	21782	25/01/1997	1997	1	25	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Police shot dead three suspected Moslem militants on Saturday after a four-hour gun battle near Sheikh Saleh Basha village in the Minya province in southern Egypt.	3
651	5EGY	21783	27/01/1997	1997	1	27	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Markz Mallawi		El Ashmunein	27.77560	30.80330	1	Reuters	Suspected Moslem militants shot dead a retired police major general in the southern Egyptian town of Ashmouneen on Monday to avenge comrades killed by police at the weekend.	1
651	6EGY	21784	12/02/1997	1997	2	12	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)	Christian Group (Egypt)	7	27	Egypt	Menia	Markz Abu Qurqas		Abu Qurqas	27.93080	30.83640	1	Reuters	Gunmen stormed the church on Wednesday evening near the town of Abu Qurqas in Minya province 240 km (150 miles) south of Cairo and sprayed bullets into a youth meeting.	10
651	7EGY	21785	20/02/1997	1997	2	20	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Markz Mallawi		El Ashmunein	27.77560	30.80330	1	Reuters	Three people were killed and several others wounded on Thursday in a shootout between Egyptian police and suspected Moslem militants outside the southern village of Ashmouneen.	3
651	8EGY	21786	20/02/1997	1997	2	20	1	Violence against civilians	Unidentified Armed Group (Egypt)		3	Civilians (Egypt)		7	37	Egypt	Menia	Markz Mallawi		El Ashmunein	27.77560	30.80330	1	Reuters	"During a clash between police and militants, police informers Khalaf Mohamed and Mohamed Ali Bikheit were also killed."	2
651	9EGY	21787	13/03/1997	1997	3	13	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Fayoum	Fayyum		Ezbet Dawud	29.51869	30.87220	1	Reuters	"A shooting took place in in Ezbet Dawoud, where 13 people were killed late on Thursday when gunmen opened fire at random on a crowded street before fleeing into sugar cane fields."	13
651	10EGY	21788	13/03/1997	1997	3	13	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Qena	Nag Hammadi		Nag Hamadi	26.05140	32.23860	1	Reuters	Gunmen opened fire on a train passing through Nag Hammadi on its way to Cairo from Aswan. Seven people were wounded in that attack and one woman later died of her injuries.	1
651	11EGY	21789	17/03/1997	1997	3	17	1	Non-violent activity by a conflict actor	Vanguards of Conquest		3	Islamist Militia (Egypt)		3	33	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1		Two Moslem militant groups in Egypt - Vanguards of Conquest and Jihad Movement - said on Monday that they have agreed to unify their ranks and that violence was the only answer to Israeli policies.	0
651	12EGY	21790	24/03/1997	1997	3	24	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	Students at Cairo University protest Iraeli settlement policy. Five students are detained for 15 days on suspicion of inciting violence.	0
651	13EGY	21791	31/03/1997	1997	3	31	1	Riots/Protests	Protesters (Egypt)	Students (Egypt)	6			0	60	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	Thousands of Egyptian students demonstrated at the Azhar Islamic university in Cairo on Monday in protest at Israeli and U.S. policies. Some of the students burned Israel and U.S. flags.	0
651	15EGY	21793	08/04/1997	1997	4	8	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Suspected Moslem militant gunmen shot dead a policeman and a farmer in a southern Egyptian town on Tuesday and then fled with an automatic rifle	2
651	14EGY	21792	08/04/1997	1997	4	8	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Suspected Moslem militant gunmen shot dead a policeman and a farmer in a southern Egyptian town on Tuesday and then fled with an automatic rifle	2
651	16EGY	21794	01/06/1997	1997	6	1	1	Riots/Protests	Rioters (Egypt)		5	Police Forces of Egypt (1981-2011)		1	15	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1		"In June, police arrested 26 farmers for allegedly demonstrating in another southern province, where protesters burnt down two government buildings to protest at new tenant laws."	0
651	17EGY	21795	03/06/1997	1997	6	3	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Markz Samalut		Deir Samalut	28.30000	30.68330	1	Reuters	Egyptian police killed four suspected Islamist militants in a dawn raid near the southern town of Samalout.	4
651	18EGY	21796	10/06/1997	1997	6	10	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Cairo	Ain Shams		Mataria	30.11670	31.31670	1	Reuters	Egyptian police shot dead a suspected Moslem militant leader in the northern suburbs of Cairo.	1
651	19EGY	21797	10/06/1997	1997	6	10	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Egyptian police shot dead four suspected Moslem militants in a gun battle in the southern province of Minya.	4
651	20EGY	21798	14/06/1997	1997	6	14	1	Riots/Protests	Protesters (Egypt)		6			0	60	Egypt	Cairo	Al Wayli		Cairo	30.07708	31.28591	1	Reuters	An anti-Israel demonstration broke out on Saturday at a heavily guarded Cairo courthouse where An Israeli textile worker is being tried for spying against Egypt.	0
651	21EGY	21799	20/06/1997	1997	6	20	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Beni Suef	Bani Swayf		Beni Suef	29.06390	31.08890	1	Reuters	Egyptian police shot dead three suspected Moslem militants and wounded another in a shootout in a village in southern Egypt on Friday.	3
651	22EGY	21800	01/07/1997	1997	7	1	1	Riots/Protests	Rioters (Egypt)		5	Police Forces of Egypt (1981-2011)		1	15	Egypt	Menia	Markz Matay		Kafr el Kawadi	28.38890	30.76390	1	Reuters	Three people were killed and dozens hurt in southern Egypt on Tuesday when police broke up a riot by farmers to protest a new farm land law.	2
651	23EGY	21801	01/07/1997	1997	7	1	1	Riots/Protests	Rioters (Egypt)		5	Police Forces of Egypt (1981-2011)		1	15	Egypt	Menia	Markz Samalut		Qulusna	28.35000	30.73330	1	Reuters	Three people were killed and dozens hurt in southern Egypt on Tuesday when police broke up a riot by farmers to protest a new farm land law.	1
651	24EGY	21802	02/07/1997	1997	7	2	1	Riots/Protests	Rioters (Egypt)		5	Police Forces of Egypt (1981-2011)		1	15	Egypt	Gharbia	El Mahalla El Kobra 1		El Mahalla el Kubra	30.97610	31.16690	1	Reuters	"Egyptian police arrested 150 people for demonstrating against a new farm land law and burning a government building. Demonstrators set fire to the farm cooperative society near the Nile Delta town of Mahalla el-Kubra, after officials had refused to provide agricultural supplies."	0
651	25EGY	21803	03/07/1997	1997	7	3	1	Riots/Protests	Protesters (Egypt)		6	Police Forces of Egypt (1981-2011)		1	16	Egypt	Gharbia	Qutur		Nile Delta	31.00000	31.00000	1	Reuters	Egyptian police arrested 35 farmers south of Cairo on Thursday in the latest outbreak of unrest over an agricultural land law which takes effect in October.	0
651	26EGY	21804	04/07/1997	1997	7	4	1	Battle-No change of territory	Police Forces of Egypt (1981-2011)		1	Al-Gama'a al-Islamiyya 		2	12	Egypt	Menia	Markz Abu Qurqas		"Abu Qurqas, Markaz"	27.93330	30.75000	1	Reuters	Egyptian police shot dead three suspected militants during a search operation in southern Egypt.	3
651	28EGY	21806	22/07/1997	1997	7	22	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Suspected Moslem militants shot dead five policemen and their officer and injured two civilians on Tuesday in an attack on a police patrol just outside Minya.	5
651	27EGY	21805	22/07/1997	1997	7	22	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Menia	Kesm Al-minya		Minya	28.10988	30.75030	1	Reuters	Suspected Moslem militants shot dead five policemen and their officer and injured two civilians on Tuesday in an attack on a police patrol just outside Minya.	6
651	30EGY	21808	19/08/1997	1997	8	19	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Assiut	Al-Qusia		"Manfalut, Markaz"	27.33330	30.83330	1	Reuters	Egypt's most violent Moslem militant group has claimed responsibility for killing four policemen in an attack in the south of the country - civilian caught in crossfire of police ambush.	1
651	29EGY	21807	19/08/1997	1997	8	19	1	Battle-No change of territory	Al-Gama'a al-Islamiyya 		2	Police Forces of Egypt (1981-2011)		1	12	Egypt	Assiut	Al-Qusia		"Manfalut, Markaz"	27.33330	30.83330	1	Reuters	Egypt's most violent Moslem militant group has claimed responsibility for killing four policemen in an attack in the south of the country.	4
651	32EGY	21810	06/09/1997	1997	9	6	1	Violence against civilians	Al-Gama'a al-Islamiyya 		2	Civilians (Egypt)		7	27	Egypt	Shrkia	Faqus		Roda	30.68940	31.82080	1	Reuters	Six people including a 10-year-old child were killed and one was injured in southern Egypt after suspected Moslem militants went on a rampage against police informers.	6
